1,AARTIPHARM,INE0LRU01027,492.55,20
2,HEALTHIETF,INF109KC1Q72,118.34,20
3,JLHL,INE682M01012,1221.5,20
4,DPSCLTD,INE360C01024,17,23.45
5,PONNIERODE,INE838E01017,415.4,20
6,DEEPAKNTR,INE288B01029,2435.8,20
7,THANGAMAYL,INE085J01014,1202.35,20
8,NAVNETEDUL,INE060A01024,149.7,20
9,TVSSCS,INE395N01027,166.2,20
10,RELINFRA,INE036A01016,161.2,26.8
11,NFL,INE870D01012,96.3,20.62
12,PROZONER,INE195N01013,30.2,23.47
13,JAYAGROGN,INE785A01026,235.1,20
14,MARUTI,INE585B01010,12504.65,9
15,SWANENERGY,INE665A01038,537.95,22.98
16,ALBERTDAVD,INE155C01010,1107.5,20
17,ASAHISONG,INE228I01012,359.45,20
18,KMSUGAR,INE157H01023,36.6,23.06
19,ASHIMASYN,INE440A01010,19.85,24.95
20,SIGIND,INE529F01035,71.95,22.75
21,ESG,INF769K01GS9,36.77,20
22,YUKEN,INE384C01016,1214.95,20
23,RAJESHEXPO,INE343B01030,292.55,20
24,IGPL,INE204A01010,497.3,20
25,BLUESTARCO,INE472A01039,1387.5,20
26,SGBJAN29IX,IN0020200377,7119.63,10
27,ITI,INE248A01017,277.3,25.28
28,RUSTOMJEE,INE263M01029,658.15,20
29,BECTORFOOD,INE495P01012,1209.45,20
30,SGBMAR25,IN0020160126,7115.82,10
31,MOVALUE,INF247L01BE5,96.05,20
32,INDIAGLYCO,INE560A01015,768,20
33,MIDQ50ADD,INF740KA1QL0,214.13,20
34,TRIGYN,INE948A01012,111.8,20.65
35,VSTTILLERS,INE764D01017,3422.1,20
36,SGBSEP27,IN0020190115,7188,10
37,SGBNOV25VI,IN0020170083,7170,10
38,RECLTD,INE020B01018,511.3,20
39,AXISCETF,INF846K016C7,106.53,20
40,IDFNIFTYET,INF194KA1U07,237.64,8.44
41,SGBAUG27,IN0020190107,7200,10
42,VERANDA,INE0IQ001011,171.45,21.81
43,JUBLINDS,INE645L01011,1113.9,22.43
44,PASUPTAC,INE818B01023,36,21.14
45,CENTRUM,INE660C01027,38,24.8
46,UCAL,INE139B01016,165,20
47,SGBMAY26,IN0020180033,7116,10
48,BLUEJET,INE0KBH01020,379.95,20
49,FLUOROCHEM,INE09N301011,3197.25,20
50,DHUNINV,INE320L01011,1158.45,21.94
51,GSEC10IETF,INF109KC18O0,228.3,10
52,STARPAPER,INE733A01018,231.5,20
53,GOLDCASE,INF0R8F01042,11.47,20
54,CHEMPLASTS,INE488A01050,457.45,20
55,PAGEIND,INE761H01022,34356.85,20
56,GOKULAGRO,INE314T01025,144.65,20
57,RUSHIL,INE573K01017,329.7,20
58,EICHERMOT,INE066A01021,4568.05,10.21
59,VISHNU,INE270I01022,282.4,20
60,GUJALKALI,INE186A01019,774.45,20
61,NMDC,INE584A01023,253,20
62,KIRLOSENG,INE146L01010,1054.1,20
63,DHANI,INE274G01010,45.45,24.14
64,PNC,INE392B01011,61.8,25.01
65,MOIL,INE490G01020,399.95,20
66,NIFMID150,INF789F1AYX9,182.94,10.13
67,ANANTRAJ,INE242C01024,365.8,20
68,CREATIVE,INE985W01018,758.85,20
69,TIINDIA,INE974X01010,3948.35,20
70,SENSEXIETF,INF346A01034,810.83,8.03
71,CHAMBLFERT,INE085A01013,387,20
72,PLASTIBLEN,INE083C01022,256.45,20
73,KIRLPNU,INE811A01020,1077.1,20
74,INFRAIETF,INF109KC16E5,83.87,20
75,SGBNOV25,IN0020170091,7199,10
76,RUCHIRA,INE803H01014,124.8,20
77,TRU,INE615R01029,62.7,24.17
78,JSWHL,INE824G01012,6334.05,20
79,HSCL,INE019C01026,349.05,20
80,RCF,INE027A01015,140.4,20
81,COMMOIETF,INF109KC19O8,84.78,20
82,NATHBIOGEN,INE448G01010,193.55,20
83,SANDHAR,INE278H01035,476.3,20
84,NCC,INE868B01028,236.1,20
85,KECL,INE134B01017,170.55,25.66
86,LORDSCHLO,INE846D01012,121.25,100
87,STOVEKRAFT,INE00IN01015,443.15,20
88,MEDICAMEQ,INE646B01010,499.85,20.23
89,AXISHCETF,INF846K01Z12,117.9,20
90,VENUSPIPES,INE0JA001018,2089.5,20
91,TITAN,INE280A01028,3245.7,9
92,IFGLEXPOR,INE133Y01011,643.9,21.63
93,BASF,INE373A01013,4020.2,20
94,TV18BRDCST,INE886H01027,41.65,20.23
95,SIL,INE173A01025,22.35,20
96,DJML,INE0B1K01014,276.4,100
97,NIFTYIETF,INF109K012R6,242,6
98,NAHARCAP,INE049I01012,285.3,20
99,HDFCBANK,INE040A01034,1447.5,9
100,HINDALCO,INE038A01020,619.4,12.84
101,LIQUIDBEES,INF732E01037,1000,10
102,JPOLYINVST,INE147P01019,665.8,22.06
103,ATAM,INE09KD01013,217.25,100
104,POWERINDIA,INE07Y701011,8953.55,20
105,TATACONSUM,INE192A01025,1085.05,9.01
106,SUBEXLTD,INE754A01055,27.75,22.76
107,VHL,INE701A01023,3010.75,20
108,MEDICO,INE630Y01024,41.55,100
109,MOMOMENTUM,INF247L01BK2,64.89,20
110,SGBMAR30X,IN0020210319,7157.02,10
111,YATRA,INE0JR601024,138.75,20
112,TATVA,INE0GK401011,1166.2,20
113,TANLA,INE483C01032,860.15,20.02
114,NPBET,INF277K010X4,240.16,20
115,TORNTPHARM,INE685A01028,2524.35,20
116,ARMANFIN,INE109C01017,2014.6,20
117,INOXGREEN,INE510W01014,118.95,21.08
118,YESBANK,INE528G01035,22.6,20
119,ASAL,INE900C01027,859.95,25.52
120,MAHEPC,INE215D01010,132.35,20
121,COLPAL,INE259A01022,2765.9,20
122,NRBBEARING,INE349A01021,306.55,20
