ISIN,SYMBOL,SERIES,TYPE,HAIRCUT,NAV
INF209K01165,BSL201G,GR,OMF,7.5,792.35
INF209K01157,BSL201D,DP,OMF,7.5,131.89
INF209K01VG0,B201DZ,DP,OMF,7.5,200.77
INF209K01VH8,B201GZ,GR,OMF,7.5,872.94
INF209K01587,BSL301QD,DP,OMF,7.5,13.14
INF209K01579,BSL301G,GR,OMF,7.5,114.06
INF209K01WY1,B301GZ,GR,OMF,7.5,122.37
INF209K01ME4,B501G,GR,GMF,10,630.75
INF209K01RU9,B153G,GR,GMF,10,388.68
INF209K01VA3,B153GZ,GR,GMF,10,392.79
INF209K01UZ2,B153DZ,DP,GMF,10,100.2
INF209K01VC9,B153WZ,DP,GMF,10,100.33
INF209K01VD7,B153Z,DP,GMF,10,213.25
INF209K01AF6,BSL403QD,DP,GMF,10,11.19
INF209K01AC3,BSL402AG,DP,GMF,10,74.04
INF209K01XP7,B402AZ,GR,GMF,10,78.96
INF209KA1LC4,B403DZ,DP,GMF,10,11.84
INF209K01314,BSL221D,DP,OMF,7.5,210.28
INF209K01322,BSL221G,GR,OMF,7.5,1217.55
INF209K01VT3,B221GZ,GR,OMF,7.5,1343.86
INF209K01Q06,B221DZ,DP,OMF,7.5,429.95
INF740K01565,DSPBRBDF,DP,OMF,7.5,11.31
INF740K01557,DSPBRBF,GR,OMF,7.5,74.13
INF740K01MZ3,DSPBDDGR,GR,OMF,7.5,78.39
INF740K01011,DSPBREF,DP,OMF,8.5,58.39
INF740K01037,DSPBREF,GR,OMF,8.5,87
INF740K01PI2,DSPEQDGR,GR,OMF,7.5,95.54
INF740K01PJ0,DSPEQDDP,DP,OMF,7.5,83.18
INF740K01NY4,DSPBLDGR,GR,OMF,7.5,329.75
INF740K01NZ1,DSPBLDDP,DP,OMF,7.5,63.12
INF740K01318,DSPBRBALF,GR,OMF,7.5,296.96
INF740K01326,DSPBRBALF,DP,OMF,7.5,27.37
INF740K01615,DSPBRGSF,GR,GMF,10,86.78
INF740K01607,DSPBRGSDF,DP,GMF,10,12.18
INF740K01NF3,DSPGSCDGR,GR,GMF,10,91.82
INF740K01714,DSPBRTBF,GR,GMF,10,48.52
INF740K01NU2,DSPTREDGR,GR,GMF,10,49.87
INF740K01094,DSPBROF,GR,OMF,7.5,521
INF740K01078,DSPBROF,DP,OMF,7.5,36.13
INF740K01PL6,DSPOPPDGR,GR,OMF,7.5,574.99
INF740K01PM4,DSPOPPDDP,DP,OMF,7.5,101.75
INF179K01830,HDFCGFG,GR,OMF,7.5,459.75
INF179K01814,HDFCGFD,DP,OMF,7.5,37.98
INF179K01WA6,HGFGTGR,GR,OMF,7.5,493.33
INF179K01VY8,HGFDTDP,DP,OMF,7.5,43.5
INF179K01947,HDFCIFD,DP,OMF,7.5,11.14
INF179K01962,HDFCIFG,GR,OMF,7.5,52.8
INF179K01WJ7,HIFDTDP,DP,OMF,7.5,12.46
INF179K01WL3,HIFGTGR,GR,OMF,7.5,58.01
INF966L01119,166TPDP,DP,OMF,7.5,50.28
INF966L01135,166TPGP,GR,OMF,7.5,362.1
INF966L01960,166TPD1,DP,OMF,7.5,53.3
INF966L01986,166TPDG,GR,OMF,7.5,399.86
INF966L01AA0,166IBGP,GR,OMF,7.5,239.18
INF966L01663,166IBD1,DP,OMF,7.5,200.83
INF966L01689,166IBDG,GR,OMF,7.5,256.91
INF192K01585,JMEFDP,DP,OMF,7.5,27.99
INF192K01601,JMEFGP,GR,OMF,7.5,144.18
INF192K01JS8,EFAD,DP,OMF,7.5,28.78
INF192K01BZ0,JMEFDG,GR,OMF,7.5,161.89
INF192K01528,JMBFDP,DP,OMF,7.5,31.12
INF192K01544,JMBFGP,GR,OMF,7.5,111.25
INF192K01BQ9,JMBFDG,GR,OMF,7.5,124.59
INF192K01HF9,JMFBFYD,DP,OMF,7.5,30.89
INF192K01999,JMIFRD,DP,OMF,7.5,19.11
INF192K01AB3,JMIFRG,GR,OMF,7.5,56.2
INF192K01CW5,JMIFDG,GR,OMF,7.5,62.28
INF192K01882,JMLFRG,GR,GMF,10,65.89
INF192K01CH6,JMLFDD,DR,GMF,10,10.43
INF192K01CM6,JMLFDG,GR,GMF,10,66.52
INF137A01037,JMBAGP,GR,OMF,7.5,90.35
INF137A01011,JMBADP,DP,OMF,7.5,63.09
INF192K01BT3,JMBADG,GR,OMF,7.5,99.9
INF174K01FK1,KGIREGQDP,DP,GMF,10,17.2
INF174K01FI5,KGIREGG,GR,GMF,10,88.01
INF174K01FL9,KTKGILT,GR,GMF,10,90.04
INF174K01KM7,KKGIG102D,GR,GMF,10,101.12
INF174K01KF1,K12D,DP,GMF,10,22.3
INF174K01KE4,KKGIG02D,GR,GMF,10,98.73
INF174K01450,KBALANCE,DP,OMF,7.5,31.12
INF174K01LL7,K04D,DP,OMF,7.5,37.53
INF174K01F00,KBALG04GD,GR,OMF,7.5,61.23
INF174K01E92,KBG,GR,OMF,7.5,52.96
INF174K01JC0,KBONG06D,GR,OMF,7.5,77.62
INF174K01EM0,KBONREGG,GR,OMF,7.5,69.89
INF174K01EQ1,KBONREGADP,DP,OMF,7.5,42.82
INF767K01063,EFDPD,DP,OMF,7.5,27.54
INF767K01071,EFGPG,GR,OMF,7.5,87.28
INF767K01EF5,EFD1D,DP,OMF,7.5,31.99
INF767K01EG3,EFG1G,GR,OMF,7.5,95.03
